pair_id,recipe_id_pos,recipe_id_neg,perturb_type,perturb_detail,syn_pos,conf_pos,bal_pos,syn_neg,conf_neg,bal_neg,syn_pos_norm,conf_pos_norm,bal_pos_norm,syn_neg_norm,conf_neg_norm,bal_neg_norm,conf_pos_good,conf_neg_good,delta_syn,delta_conf,delta_bal,delta_conf_good,overall_margin,is_hard_negative,validity_flag,drop_reason
1cc6abed-09e8-44da-80d0-a845d50bb03a,682,perturbed_f4ec7a17,conflict_add_extra_base_spirit,"add_extra_base_spirit:1711,current=1",1.81139171952928,0.0070434303709866,-0.2767691001862704,1.9863601195292802,0.07041798556225871,-0.2517926647119811,0.0270450536856481,0.0070434303709866,0.6711731887159589,0.9931800597646401,0.07041798556225871,0.748207335288019,0.9929565696290134,0.9295820144377412,-0.17496840000000025,0.06337455519127211,-0.024976435474289294,0.06337455519127211,-0.9797945974597799,True,False,Positive sample score not higher than negative
7d1e8896-6b63-4dcf-a278-c919d2b85997,187,perturbed_846a9cdc,conflict_acid_sweetener_ratio_break,acid_sweetener_ratio_break,53.92280163030169,0.0154114843197307,-0.3106573212843576,43.992336860935104,0.08669533497200246,-0.29425361439185527,0.8050964621562043,0.0154114843197307,0.6130323823183442,1.0,0.08669533497200246,0.7057463856081447,0.9845885156802693,0.9133046650279976,9.930464769366587,0.07128385065227172,-0.016403706892502312,0.07128385065227172,-0.21633369048132423,True,False,Score change too large
bfd27e90-0353-4f66-8e4e-802fcd67c224,731,perturbed_5c2081ee,synergy_insert_flavor_outlier,"insert_flavor_outlier:1124,type:liqueur",2.2980189677739102,0.0237701493191167,-0.2083389436723803,3.1520807358360616,0.02162903545609615,-0.25669858715460026,0.0343106605181092,0.0237701493191167,0.7885763557372317,1.0,0.02162903545609615,0.7433014128453997,0.9762298506808833,0.9783709645439038,-0.8540617680621514,-0.002141113863020516,0.048359643482219966,-0.002141113863020516,-0.9225555104530794,True,False,Positive sample score not higher than negative
19e788bf-35f5-4306-ac87-efe06bedaf2d,481,perturbed_d47fe774,synergy_insert_flavor_outlier,"insert_flavor_outlier:113,type:other",1.0842592349918914,0.0365841100639055,-0.1534060013554585,1.6172280231469498,0.03414379002665264,-0.2565117453056508,0.0161885741793806,0.0365841100639055,0.8828228360955578,0.8086140115734749,0.03414379002665264,0.7434882546943492,0.9634158899360945,0.9658562099733473,-0.5329687881550584,-0.0024403200372528078,0.10310574395019229,-0.0024403200372528078,-0.6555311760301388,True,False,Positive sample score not higher than negative
897744b1-ae62-42ae-ba30-fab18bc0ebf9,598,perturbed_e1a3f340,conflict_acid_sweetener_ratio_break,acid_sweetener_ratio_break,3.861544191686256,0.033199806198142,-0.202161870377093,4.0576149947605415,0.042706806085611566,-0.20490528528229784,0.0576549339646959,0.033199806198142,0.7991741390061046,1.0,0.042706806085611566,0.7950947147177021,0.966800193801858,0.9572931939143884,-0.19607080307428548,0.009506999887469614,0.002743414905204855,0.009506999887469614,-0.928758641859432,True,False,No significant score change
d01dd60f-75f3-402b-b32b-558416f7be6c,641,perturbed_85d15796,conflict_add_extra_base_spirit,"add_extra_base_spirit:1138,current=1",0.757816752,0.0173949562512351,-0.1752376645844296,1.491023616,0.007562924571136381,-0.24939538526487193,0.0113146121409065,0.0173949562512351,0.845367033931744,0.745511808,0.007562924571136381,0.7506046147351281,0.9826050437487649,0.9924370754288636,-0.7332068640000001,-0.009832031680098718,0.07415772068044232,-0.009832031680098718,-0.6492668083425766,True,False,Positive sample score not higher than negative
2b17efa7-6231-4741-99ff-cb5f6a385b4f,434,perturbed_d7346e13,balance_change_amount,"change_amount:2054,factor:2.0",5.784215284679791,0.033356900578438,-0.3256341225470629,5.7842152846797905,0.03335690665130545,-0.27850002332918367,0.0863614486126522,0.033356900578438,0.5873372211545247,1.0,0.03335690665130545,0.7214999766708163,0.966643099421562,0.9666430933486946,8.881784197001252e-16,6.0728674311505415e-09,-0.047134099217879255,6.0728674311505415e-09,-1.0478013008307718,True,False,No significant score change
bd11ef19-4a03-4f5e-a299-ff37a23817ec,511,perturbed_eb544105,conflict_create_incompatible_type_pair,"create_incompatible_type_pair:234,type:spirit",5.84113759098536,0.0275911541348718,-0.2951638744007641,6.527301238985361,0.02428909086150446,-0.2376722040148074,0.0872113292946425,0.0275911541348718,0.639613933857548,1.0,0.02428909086150446,0.7623277959851926,0.9724088458651282,0.9757109091384956,-0.6861636480000008,-0.0033020632733673505,-0.05749167038595668,-0.0033020632733673505,-1.0388045961063692,True,False,No significant score change
46ea5047-5aaf-40a7-a71b-340f1e700966,421,perturbed_8b757acc,synergy_replace_with_low_cooccur,"replace_with_low_cooccur:168,696,role:base_spirit",1.270430016,0.0342766128647354,-0.2446834413515724,1.39960032,0.03832229049426643,-0.23861104303804556,0.0189682041803236,0.0342766128647354,0.7262214036413916,0.69980016,0.03832229049426643,0.7613889569619544,0.9657233871352646,0.9616777095057336,-0.12917030400000007,0.004045677629531008,-0.00607239831352685,0.004045677629531008,-0.7119538315107081,True,False,No significant score change
62a99877-6d86-4fe9-86d5-e1251621faaa,709,perturbed_4e7f53e8,conflict_acid_sweetener_ratio_break,acid_sweetener_ratio_break,4.867670341403057,0.0507569111973359,-0.232393837186667,5.227649299167659,0.051749453128946674,-0.3396292973558839,0.072676939111488,0.0507569111973359,0.7473062370525917,1.0,0.051749453128946674,0.6603707026441161,0.9492430888026641,0.9482505468710534,-0.35997895776460176,0.000992541931610691,0.10723546016921687,0.000992541931610691,-0.8393949845484259,True,False,Positive sample score not higher than negative
