差值分布,平均值,标准差,大于0比例
Δsyn,0.013152892341460828,0.032142987375091435,0.9976666666666667
Δconf,0.014460560003252566,0.017984016453728612,0.9893333333333333
Δbal,0.06888471079650932,0.07718298999896998,0.998
ΔSQE,0.030264738176512894,0.027352549106642775,1.0

扰动类型分析,样本数,Δsyn平均值,Δconf平均值,Δbal平均值,ΔSQE平均值
synergy_replace_with_low_cooccur,455,0.025380828317228373,0.0033366097196505045,0.1451631071925144,0.05470224640054083
synergy_insert_flavor_outlier,438,0.026440019417718858,0.0035573520665728125,0.1448419053848061,0.055095785002501216
synergy_replace_with_distant_anchor,457,0.025952131050089918,0.003320810410024254,0.14338127060873898,0.05439147672566494
conflict_acid_sweetener_ratio_break,430,0.002700518720884583,0.024462135542509783,0.007239893539698982,0.010590816213016462
conflict_create_incompatible_type_pair,456,0.002776503818312225,0.0265699014708264,0.006935620299687888,0.011162258058479176
conflict_add_extra_base_spirit,464,0.0027852785436339625,0.026485828481886804,0.007107660379440395,0.011192158075851746
structural_balance_change_role,99,0.0019580183534964723,0.012657827125773694,0.006284352071386443,0.006465861100546631
structural_balance_change_amount,96,0.0030454020737274803,0.012651725798881458,0.007085620500316407,0.007139364719250352
structural_balance_remove_key_ingredient,105,0.0025111170832450205,0.013296035172009562,0.007264775926751069,0.007172690162926198

相关性分析,相关系数
"corr(Δsyn, Δbal)",0.28375864382523014
"corr(Δconf, Δbal)",-0.4927882486120779
"corr(Δsyn, Δconf)",-0.2035064175533594
"corr(syn_norm, bal_norm)",-0.1561460463129275
"corr(conf_good, bal_norm)",0.03944955201133408
"corr(syn_norm, conf_good)",0.03738846820572926
