id,name,instructions
151,Spring Forward,"Combine all ingredients, minus the sparkling wine, into a tin. Shake and double strain into a flute glass. Top with a float of sparkling wine. Garnish with an edible flower petal."
152,Three Flips,"Combine all ingredients, shake for 20 seconds. Add ice and shake again. Strain into a snifter. Garnish with shaved nutmeg."
153,Buenaventura,Combine all ingredients. Shake and strain into cocktail glass. Garnish with an orange peel.
154,Nieux Carré,"Combine all liquid ingredients in a chilled mixing glass with cracked ice and stir for 20 seconds.
Double strain the cocktail over a large cube placed in an old-fashioned glass.
Garnish with a lemon twist making sure to release all the essential oils out of the twist. Also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail."
155,L.E.S. Is More,"Combine all liquid ingredients in a highball or Collins glass with ice.
Stir lightly and garnish with a lemon twist making sure to release all the essential oils out of the twist. Also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail."
156,La Perle de Verre,"Combine all liquids with exception of sodas, sir together. Strain into collins glass with singular large cube. Top with sodas. Garnish with sliver of poached pear from syrup (kept chilled).

*Rose Poached Pear Syrup:
-- 1.5 C Rose (La Vielle Ferme or similar)
-- 1.5 C Water 
-- 2 C Sugar
-- 1 Large Lemon
-- 1 Half Orange
-- 1 tsp Ground Ginger (not fresh)
-- 1 tsp Vanilla
-- 3-5 Whole Cloves

Combine Rose (La Vielle Ferme or similar), water, and sugar. Bring to a simmer. Add zest of lemon and an orange, ground ginger, vanilla, and cloves. Peel and halve pears, set gently into liquid. Keep just under a simmer for 15 mins. Remove from heat, let cool at least 20 mins. Pears will keep for 3 days refrigerated in syrup. The syrup itself will last longer."
157,A Tall Tell,Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.
158,Cut and Run,"Combine all the ingredients in a mixing glass and stir for about 10 seconds. Strain in to an Old Fashioned glass or glass of your choosing. Add large ice cubes. Garnish with a lemon wheel, mint sprigs and a blackberry.

*Moroccan Mint Tea (Numi Tea Brand):
-- 1 Moroccan Mint Tea Bag
-- 8 oz. Boiling Water
 
Combine the tea bag and the boiling water in a cup or a pot. Let steep for 5 minutes. Remove the tea bag and place the tea in the fridge to cool. Label and date the container. Will keep for 1 week.

**Rich Honey Syrup:
-- 10 oz. Honey
-- 5 oz. Hot Water

Combine both ingredients together in a container and stir until fully incorporated. Label and date the container. Will keep in the fridge for 2 weeks."
159,The Stand By,Combine all the ingredients in an old-fashioned glass. Stir on the rocks. Garnish with lemon peel.
160,Second City Sour,"Combine bourbon, lemon juice, and syrup in a shaker and add cold ice. Shake until chilled well (10-30 sec. depending on the quality of the ice). Strain into a collins glass and slowly pour the vermouth into the glass. Garnish with a lemon twist. 

*Orange-scented Maple Syrup:
combine 6 oz. of grade B maple syrup, 6 oz. filtered water and the peel of 1 orange, with a minimum amount of pith in a non-reactive pan. 
Simmer for 10 mins. Remove from heat and allow it to cool to room temp. before using. 
Syrup will keep for 1 month if refrigerated."
161,California's Callin',"Combine Gin, Maraschino, juices, and bitters in an ice-filled mixing tin and shake for 20-30 seconds, or until well chilled. Strain over fresh ice into a Collins glass, top with the California Lager, and garnish with the grapefruit peel."
162,End of Winter,"Combine H by HINE, King's Ginger Liqueur, and bitters over ice in a mixing glass. Stir until you reach proper dilution(15-20 seconds). Strain over a large ice rock in a bucket glass and garnish with Luxardo Cherries."
163,Hopped-Up Mule,"Combine Hophead Vodka, Kings Ginger, and lime juice in a Collins glass and fill with ice. Top with ginger beer. Stir. Garnish with a lime wheel."
164,Bay City Shandy,"Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer."
165,San Fran Shandy,"Combine Hophead, lemon juice, King's Ginger, honey syrup, egg white, and bitters in a shaker and dry shake to emulsify egg whites. Add ice and shake vigorously until proper dilution. Strain into a chilled fizz glass. Empty ice out of shakers and fill shaker with ale to create a froth. Pour this froth over the drink and garnish with half an orange wheel.
	
"
166,West Bank,"Combine ingredients and shake with ice. Strain into a rocks glass over fresh ice. Grate nutmeg on top.

*Bywater Spice Mix: Simple syrup infused with Vietnamese cinnamon, licorice root, and clove"
167,Hotaling White Manhattan,Combine ingredients in a mixing glass and stir with ice. Strain and serve up with an orange twist.
168,Coffey Grain Manhattan,Combine ingredients in a mixing glass with ice and stir. Strain into a coupe glass and garnish with a flamed orange peel.
169,Shadowcat,"Combine ingredients in a pint glass, stir with ice to chill. Double strain into a coupe glass. Garnish with mint and lemon wedge flag."
170,San Francisco Harvest,"Combine ingredients in a shaker with ice. Shake and double strain into a coupe glass. Garnish with nutmeg.

*Winter Spice Brown Sugar Syrup: 
-- 2 qt Brown Sugar
-- 2 qt Water
-- 3 Tbsp Ground Ginger
-- 3 Tbsp Ground Nutmeg
-- 1 Tbsp Clove

Heat and simmer the below ingredients in a medium pot for 15 minutes. Strain with cheesecloth."
171,Martinez,"Combine ingredients in an ice-filled mixing glass and stir for 20 to 30 seconds, or until well chilled. Strain into a chilled cocktail glass and garnish with the lemon peel."
172,Negroni D'Amore,"Combine ingredients in an old fashioned glass filled with ice, stir to combine, and garnish with orange peel."
173,Radice Amara,"Combine ingredients in mixing glass, and stir with ice to dilution. Strain into a coupe cocktail glass. Garnish with a trimmed carrot ribbon."
174,Don't Rock the Boat Punch,"Combine ingredients into a chilled punch bowl, ice and dilute appropriately, garnish seasonally."
175,Miyagikyo Kick,"Combine ingredients into a cocktail shaker. 
Shake with ice vigorously for 10-15 seconds. 
Strain into a chilled coupe glass. No garnish."
176,King's Toddy,"Combine ingredients into a hot mug, top with hot water and garnish with a rough orange twist."
177,Picadilly,"Combine ingredients into a mixing glass, add ice and shake until properly diluted. Double strain into a glass over fresh ice, garnish with a cucumber wheel."
178,Elgin Elixir,Combine ingredients with ice in a mixing glass and stir. Strain over a large cube in a rocks glass and garnish with an orange peel.
179,The Canevari Cocktail,"Combine ingredients, stir until well chilled, and strain in to a cocktail glass. Serve with an orange twist."
180,Erasmus' Revenge,Combine ingredients. Pour over big cube and stir. Add the grapefruit peel.
181,The Sparkler,Combine Luxardo Bitters and Dolin Blanc. Stir in mixing glass until chilled. Strain into flute. Top with prosecco. Zest with grapefruit. Garnish with long grapefruit zest.
182,Shroud of the Inca,"Combine Luxardo, BarSol, and tincture. Ice, stir, and strain into chilled coupe. Top with Prosecco. Gently set candied blood orange wheel (thinly sliced) garnish into drink and serve.

*Castillian Tincture:
-- 750 ml Luxardo Grappa Euganea
-- 20 g Sliced Blanched Almond
-- 2 g Spanish Saffron
-- 3 Sliced Madagascan Vanilla Beans
-- 3 g Toasted Green Cardamom
-- 4 Lemon Peels (pith removed)
-- 2 Quartered Dried Pajarero Figs
-- 2 Quartered Quartered Medjool Dates

Combine all ingredients, gently agitate twice daily for 14 days. Fine filter and store.

**Candied Blood Orange Wheels:
-- 1 Blood Orange (sliced thin - approx. 10 slices/orange)
-- .5 c Natural Sugar
-- .25 c Water
-- 2 Tbsp Corn Syrup

Combine sugar, water, and corn syrup in shallow saucepan. Slow simmer on low heat approx. 10 min. When thickened mixture begins to cling to sides of pan, add orange slices. Allow to simmer for 5 more min. and remove from hardening syrup. Place slices on parchment-lined oven rack. Air dry overnight, then bake 10 min. at 400°F (or dehydrate them)."
183,New Beginnings,"Combine Luxardo, cachaca, gin, coconut water, tincture and almond extract in a yari (mixing glass). Add ice. Stir for proper dilution (30-40 revolutions). Pour in collins glass over a clarified ice sphere. Top cocktail with Fever-Tree. Add 3 almond slices for garnish.

*Toasted Coconut Tincture:
-- 4 oz (by weight) Semisweet Coconut Flakes
-- High-Proof Neutral Grain Spirit (preferably Everclear)

Lightly toast semisweet coconut flakes. Put in a small mason jar. Fill jar with high-proof neutral grain spirit. Let sit for 3 days then strain off."
184,Fuji-La,"Combine Luxardo, gin, apple water and citric acid solution into a shaker tin and shake to chill. Double strain into a coupe glass and garnish with a slice of Fuji apple lightly dusted with cinnamon.

*Apple Water:
-- 1 Fuji Apple
-- 2 c Water

Slice Fuji apple and combine with water. Vacuum seal and place in a sous-vide for 3-4 hrs at 130°F. Strain apples; water is ready for use.

**Citric Acid Solution:
-- 1 ml gram Citric Acid
-- 3 ml Water

Combine citric acid and water. Stir until dissolved."
185,The Cliffdiver,"Combine rum, curacao, violettes, and lime juice in a shaker, add ice and shake vigorously. Double strain into a chilled collins glass. Add fresh ice in the collins glass and top with chilled ginger beer. Float 2-3 dashes of Angostura Bitters on top and garnish with a grilled pineapple wedge on rim of glass, and two Luxardo Cherries speared through a toothpick, and edible orchid placed on top hanging from the rim."
186,Irish Goodbye,"Combine the coffee and whiskey in a preheated cup. Top with Irish cream and pour the absinthe over the back of a spoon to float. Garnish.
"
187,Beachcomber,Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.
188,Old Tom and The Sea,"Combine the ingredients. Shake and strain over ice. Lemon and/or cherry flag garnish.

Add soda water if you'd like to water it down."
189,Salty Swede,Combine the Karlsson's Gold Vodka and grapefruit in a shaker with ice. Shake for 15 seconds and strain over fresh ice in an old-fashioned glass that has a salted rim. Top the cocktail with the club soda.
190,The Last Tango,"Combine the lime, elderflower, tincture and cherries into a shaker tin. Muddle the cherries and then add the Junipero Gin. Shake with ice. Double strain into a chilled cocktail glass. Garnish with a lime wheel.

*Chili Tincture:
-- Chiles (Habaneros or Bird’s eye Chiles recommended)
-- Grain Alcohol or Vodka

Fill a small jar with stemmed hot chili peppers and cover with grain alcohol or high-proof vodka. Let soak for 3 days; strain."
191,Pink & Black,"Combine the Pink Pigeon, the cola, and the lime juice, in a tall Collins glass full of ice cubes."
192,Pink & Ginger,"Combine the Pink Pigeon, the ginger beer, and the lime juice, in a tall Collins glass full of ice cubes."
193,A Regal Air ,Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.
194,King's Mule,"Combine vodka, ginger liqueur, lemon juice, ginger-cinnamon syrup and bitters in tins with ice and shake. Double strain into collins glass over fresh ice and top with club soda.

*Ginger-Cinnamon Syrup: 
Equal parts demerara sugar, clover honey, fresh ginger juice, water. Combine demerara sugar and clover honey and top with boiling water. Stir to dissolve. Once cooled add fresh ginger juice and stir to mix."
195,Caipirinha,Cut a lime in 4 pieces and put them in a glass. Add 1-2 tablespoons of sugar and crush with a pestle. Add Ypiòca. Fill with crushed ice. Stir well and enjoy!
196,Bubbly Bird,Dash each bitter and the Fernet over sugar cube in base of Champagne glass so that the sugar is fully saturated with mixture. Add Pink Pigeon Rum and top with chilled Champagne. Garnish with a twist of lemon.
197,Framboise de Pigeon,Double strain into a martini glass.
198,Far From the Tree,"Dry Shake (no ice), Wet Shake (with ice) & Double Strain."
199,Luxardo Sour,Dry shake all ingredients for 20-30 seconds. Then shake with ice. Double strain over fresh ice in an old fashioned glass. Garnish with wide lemon swath.
200,The Molino,Dry shake all ingredients. Hard shake with ice. Double strain into small pilsner glass. Garnish with Luxardo Cherry.
201,The King's Egg Nog,Dry shake and then shake with hand cracked ice. Serve in a goblet with grated nutmeg.
202,White Walker Flip,Dry shake whole egg until emulsified. Then add Kold Draft ice and all ingredients except bitters and shake vigorously until cold. Strain into chilled royal coupette and garnish with apple wheels.
203,Hibiscus Pisco Sour,"Dry shake, add ice and shake again. Strain into a coupe glass."
204,Lux Japanese Lemonade,"Dry Shake, add ice and shake for 10 seconds. Double strain into a Copita Glass. Garnish with Dill."
205,Flip and Flight,"Dry shake, shake with cubed ice, double strain into chilled glass coated in vanilla-salt solution."
206,Dry Mauritian Sour,"Dry shake, shake with cubed ice, double strain into chilled glass."
207,Platonic Snuggle,"Dry shake, strain, top with porter."
208,The Brightside,"Dry shake, then serve old-fashioned glass with crushed ice. Drizzle Bitter on top to finish."
209,The King's Froth & Frizz,"Dry shake, then shake with ice. Double strain into flute or sour glass. Top with a Saison.

Zest orange over top and garnish with a star anise.
"
210,The Queen's A Redhead,"Dry shake, then shake with ice. Double strain over cubed ice."
211,Delicious Sour,"Dry shake. Add ice, shake. Double strain into a frozen coupe glass. Garnish with lemon twist or dehydrated apple slice."
212,Jalapeño Sour,"dryshake/shake/dblrocks

garnish jalapeño slice"
213,Hanny's Hot Apple Toddy,"Fill a 10-oz mug with boiling water. When the mug is hot, pour out the water and add the amaretto and cider. Top with a layer of cream. Grate fresh cinnamon on top as a garnish."
214,The Alpine Mist,Fill a cocktail shaker with ice. Add all ingredients except the garnish and shake well. Stain into a very chilled martini glass (martini glass should have a sugar rim on half of the glass) and top with a splash of ginger beer. Garnish with a mint leaf and orange peel. Right before serving drop in a chip of dry ice for the mist.
215,Division Bell,Fill a cocktail shaker with ice. Add ingredients and shake well. Strain into a chilled coupe or martini glass and garnish with the grapefruit twist.
216,Golden Gun,"Fill a collins or highball glass with cracked or cubed ice. Add all the ingredients to a cocktail shaker filled with cracked or cubed ice. Shake and strain into the glass.

*SC Demerara Syrup:
-- 2 C Water
-- 1 C Demerara Sugar
-- 3 C Granulated Sugar

Bring water to boil in a saucepan over high heat. Add the demerara sugar and stir vigorously with a whisk (or use an immersion blender) until sugar is dissolved, about 1 minute (the water should become clear). Add granulated sugar and stir vigorously until dissolved, about 1 minute. Remove from heat and let cool."
217,Grown-Up Shirley Temple,"Fill a highball glass with ice, and build the syrup, lemon juice, and soda water. Stir, and garnish with a Luxardo Maraschino Cherry."
218,Japanese Cocktail,"Fill a mixing glass half full with ice. Add cognac, orgeat, and bitters. Stir well. Strain into chilled cocktail glass. Twist lemon peel over the drink and drop in as a garnish."
219,Vinterpäls,"Fill a mug with very hot water to warm the glass up. Once the glass is hot, empty it and add all the liquid ingredients. Stir well until the honey is incorporated. Garnish with the clove studded orange peel and enjoy."
220,A Southern Jackass,"Fill a shaker with an old fashioned glass worth of ice. Add all ingredients except for the club soda. Shake vigorously for 20 seconds, then dump into old fashioned glass. Set lemon wheel and sliver of cinnamon-candied ginger on top then top with club soda.

*Cinnamon Candied Ginger Syrup:
Combine 1/4 lb. peeled ginger root (sliced 1/8"" on a 45-degree bias using a mandolin), 2 cups of water, and 4 cinnamon sticks in a pot (or pan) and bring to cusp of a light simmer. Continue to barely simmer for 30 minutes. Add 1 cup of demerara sugar and stir until fully dissolved. Lower heat and keep just below simmering. Continue to heat until almost all liquid is reduced and remaining sugar is just beginning to caramelize (2-3 hours). Remove from heat and spoon slivers of ginger (along with a generous dollop of now thick syrup) onto a sheet of parchment or wax paper. Let cool for at least 2 hours then store layered on the paper sealed in a ziplock bag. Remove cinnamon sticks and reserve syrup."
221,Mayan Sacrifice Champagne Cocktail,"Fill Chinaco stemmed flute with prosecco, cava or other dry sparkling.
Garnish with Luxardo Cherry pinned inside of lemon peel and rested across rim.
The cherry garnish which will be EVER so delicately laid across the top of the glass, should flame in my opinion. You can dip the in high-proof spirits and light it up!
"
222,Pacific Kick,Fill shaker with ingredients and ice. Shake. Strain into old fashioned or rocks glass filled with ice.
223,Citrus Quo (Adapted),"Fill up a stem-less wine glass with ice and pour the ingredients over, stir and serve."
224,The Mayan Premonition,"Fill up a stemmed wine glass with ice then pour the ingredients, stir and serve."
225,Club Med,"Fill up a wine glass with ice then pour the ingredients, stir and serve."
226,Pisco Sour,"First, dry shake all ingredients. Then, shake all ingredients vigorous with ice and strain into a cocktail glass. Garnish with 2-3 drops of Angostura bitters on top of the foam."
227,Jamaica Paloma,"Flash shake, strain onto fresh ice, top with Mexican Squirt. Salted starfruit garnish."
228,Ypioca Chile Punch,"For a punch, combine Ypioca, lime, agave and Ancho Reyes together. Add fresh pineapple chunks, 3 thin sliced chiles (seeds included) and 1 star anise to garnish."
229,Prata Punch,"For punch, combine Ypioca, Lillet Rose, guava nectar, lime and agave. Top with Rosa Regale sparkling and add sliced strawberries and thin-sliced lime wheels to float as garnish.

For individual cocktails, muddle 2-3 strawberry slices w/ agave and add Ypioca, guava and Lillet. Add ice and shake to chill/mix. Strain over ice and top with champagne. Garnish with thin-sliced strawberry. Remember, this is an aperitif style so it's meant to be refreshing but not necessarily sweet."
230,Engaged and Cant-Aloupe,"Garnish with 3 drops of Angostura Bitters over foam.

*Beet Sugar Water:
-- 50% Beet Sugar
-- 50% Water"
231,Mauritian Made,Garnish: mint and lime wheel
232,Hotaling Old Tom Gin,"Garnished with orange peel and star anise. Served over the rocks in a stemless wine glass.

*7-Spice Syrup:
-- Pink Peppercorn
-- Star Anise
-- Sumac
-- Cinnamon
-- Nutmeg
-- Coriander
-- Cardamom"
233,Hotaling Seaside Shandy,"Genevieve is Hotaling's interpretation of genever, an ancient and mysterious gin style. The most common way to consume genever has always been straight. If you are planning to set sail for the day, picnic or do something else to enjoy the great outdoors, we recommend throwing a bottle of Genevieve in the freezer the evening before your outing and moving it to the cooler day of. We sip it straight while enjoying a lager. Glassware is dealer's choice, but cordial glasses are elegant and fun."
234,Blind Luck,"Hard vigorous shake with high density ice for 5-6 seconds. Hawthorne and fine strain into a chilled martini glass. Garnish with a mint sprig spanked and lightly rubbed around the edge of the glass. Raspberry garnish and mint sprig attached to the raspberry. Channel zest lemon bath over the glass.

*Strawberry-Raspberry Turbinado ""Sugar in the Raw"" Simple Syrup:
-- 2 C Water
-- 2 C Sugar in the Raw Turbinado Sugar
-- 15 Raspberries
-- 3 Strawberries, quartered
-- 3 Mint Leaves

As the water boils, slowly add sugar a few spoon fulls at a time and whisk vigorously into the boiling water until all 2 cups have been dissolved. Continue to keep on high heat for 5 mins.
Then take raspberries, strawberries, and mint leaves and macerate all components together and add into the boiling simple syrup.
Reduce heat to low-medium heat for the next 15 mins.
After that allow simple syrup to cool down and rest for additional 15 mins. 
Double strain the simple syrup through fine strainers until all fruit, seeds and mint leaves are strained out.  Allow to cool."
235,The Naughty & Nice,"Heat cider to 180°F. In a 5 oz cup pour the scotch and drambuie. Add the heated cider. Stir in the spiced butter. Top with 3 drops bitters.

For the garnish, add 2 small cocktail stirrers, hang cookie off of the stirrer so that it leans off of the side of the cup.

*Spiced Butter:
-- 1 half Stick Butter
-- 1 tbsp Pumpkin Pie Spice
-- .5 tbsp Brown Sugar
-- .5 tsp Cayenne Pepper

Soften butter, add spices and mix with a spoon until all ingredients are combined.

**Chrusciki Cookies:
-- 1 c All-purpose Flour
-- 3 Egg Yolks
-- 3 tbsp Sour Cream
-- 1 tsp Vanilla Extract
-- 1 tbsp Dark Rum
-- 1 pinch Salt

Using a mixer, incorporate egg yolks into sour cream, add vanilla and rum, kneed in all-purpose flower and salt to taste.
Divide dough in half on a floured board and let rest for 20 min. Working with half the dough at a time, roll out to 1/8 in. thickness, cut into 2 in. wide strips, cut these strips on the diagonal at 4 in. intervals.
Heat 2 in. of vegetable oil in a large deep skillet to 350°F. Make a slit in the center of each strip of dough. Pull one end through the slit to form a bow.
Fry 6 Chrusciki at a time for 1 min. or less per side till golden brown.
Drain on a paper towel and dust with confectioners sugar.
"
236,The King's Cranberry Sauce,"Heat cranberries, sugar, OJ and King's Ginger over medium heat. Place the peppercorns, allspice, cloves and cinnamon in a piece of cheesecloth with the end tied. Add to pot. Cook stirring often until cranberries soften about 25 to 30 min. Refrigerate for 1 hour before serving."
237,Mexican Sazerac,Ice: Large block or spherical
238,Roasted Cherry Colada,"In a blender, combine white rum, Luxardo, coconut milk, lime juice, sugar, bitters, 3 cherries, and 1 cup ice and purée until smooth; pour into a tiki glass and top with black rum. Place halved cherry, cut-side up, on top of cocktail and fill with Everclear before lighting cherry on fire."
239,Karlsson's Kold Brew,In a Boston shaker combine all liquid ingredients (not the foam) with cracked ice and shake vigorously for 20 seconds. Double strain the cocktail into an espresso cup. Using an aero-latte frothing whip froth the coffee infused soy milk and spoon the froth over the cocktail. Sprinkle with a little espresso powder.
240,Root Down,In a Boston shaker combine all liquid ingredients except the ginger beer with whole hard ice and shake vigorously for 30 seconds. Double strain the cocktail over whole hard ice cubes in a 13 oz. rocks glass and top with the ginger beer. Garnish with the licorice root.
241,Chilli Vanilli,In a Boston shaker combine all liquid ingredients in a shaker without ice and dry shake for 10-12 shakes to blend the egg whites. Once blended add cracked ice and shake vigorously for 30 seconds and strain into a frozen 4.5 oz. coupe glass. Let the cocktail settle and sprinkle with the vanilla powder.
242,Pear and Cranberry Fizz,In a Boston shaker combine and muddle the fresh lemon juice and cranberries. Add the remaining liquid ingredients except the club soda with hard ice and shake vigorously for 20 seconds pour directly into a highball add a little more ice to fill the glass and top with the club soda. Garnish with a few pear slices and fresh cranberries.
243,Asian Affair,"In a Boston shaker, combine all liquid ingredients except the ginger beer with cracked ice and shake vigorously for 30 seconds. Double strain over ice into a 16 oz. highball or Collins glass and top with the ginger beer. Garnish with the candied ginger using 2 toothpicks placed on the rim of the glass.

*Thai Basil Syrup:
-- 1 C Chopped Thai Basil
-- 2 C Granulated Sugar
-- 1 C Water

In a 1 qt. saucepot bring the water and sugar to boil and stir until sugar is completely dissolved. Add the chopped Thai basil to the pot and remove from heat. Let the basil steep for 1 hour or until syrup is room temperature. Strain the basil out of the syrup using a fine mesh sieve and store covered in fridge."
244,Pumpkin and Spice,"In a Boston shaker, combine all liquid ingredients except the ginger beer. Shake vigorously for 25 seconds and strain over fresh ice in a rocks glass. Top with the ginger beer and grate the fresh nutmeg over the top.

*Oatmeal-Infused Karlsson's Gold Vodka:
-- 750 ml Karlsson's Gold Vodka
-- 2 C Raw Oats

Using a large sauté pan toast the oats for about 10 minutes constantly watching them and making sure they don't burn. Once aromatic and have a touch of color add the oats to a mason jar with the vodka and let infuse for 12-24 hours. Strain and press out all the vodka from the oats. Return the liquid to the bottle and store in a cool dark place."
245,Tambourine,"In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with 1/2 piece kaffir lime leaf. (Clap the leaf several times before placing on top of the cocktail to release the aromatics.)"
246,Eden's Apple,"In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with the apple slice. Can also be served warm."
247,Swedish 75,"In a Boston shaker, combine the Karlsson's and the lemon curd with whole hard ice and shake vigorously for 30-40 seconds. Add the champagne to the shaker, stir until mixed well and double strain the cocktail into a 4.5 oz. coupe glass. Garnish the cocktail with a lemon twist making sure to release all the essential oils into the glass. Rub the entire rim with the twist before dropping the twist into the glass."
248,Barbary Coast Bulldog,"In a bucket glass, combine Hophead, coffee liqueur, and cream. Add Ice and give a quick stir. Top with cold Mexican Coke and garnish with a Luxardo Cherry."
249,Apple Shrub Spritz,"In a chilled mixing glass combine the Karlsson's gold vodka and the spiced apple shrub with cracked ice and stir for 20 seconds. Add the chilled club soda to the mixing glass, stir just until mixed and strain into a frozen champagne flute. Garnish with two apple slices placed on the rim."
250,Goat Town Swizzle,"In a collins glass, add ingredients beginning with orgeat and ending with rye. Fill glass half full with minted crushed ice. Begin ""swizzling"" cocktail with stick until cocktail is blended and ice forms on outside of glass. Top with more minted crushed ice and garnish with lemon and mint."
251,The No.3 Winter Cup,"In a highball glass full of ice add No.3, King's Ginger and red vermouth. Top up with the lemonade and serve with a slice of ginger and a wedge of pink grapefruit."
252,La La Land,"In a mixing glass muddle mint, add all other ingredients and ice, shake, fine strain into a double old fashioned glass over fresh cracked ice. Garnish with cucumber slices and raspberries."
253,Vieux Carré,"In a mixing glass, add all ingredients, then fill halfway with ice. Stir with a barspoon until chilled, about 30 seconds. Strain into a chilled cocktail glass. Rub the lemon twist around the rim, drop it in the cocktail, and serve."
254,Mack's Apple,"In a mixing glass, add ice and shake with all of the ingredients. Strain over new ice (large sphere ice cube) and serve in old fashioned glass and grate fresh cinnamon over the ice.

*Apple Cider Reduction: Boil apple cider until it reduces in volume by half.

**Cinnamon-Chipotle Syrup: Bring 1 cup sugar, 1 cup water and 3 cinnamon sticks to boil, take off heat and let steep for 20mins, add chipotle powder and mix well."
255,The Ladybird,"In a mixing glass, add the first three ingredients over ice. Stir to chill. In a separate coupe glass, add .5 oz of Luxardo Fernet and swirl glass until it is fully coated with the Fernet. Strain chilled cocktail from mixing glass into the Fernet-rinsed coupe (discard excess fernet). Garnish by placing a Luxardo Cherry into the bottom of the glass."
256,Passionate Pigeon ,"In a mixing glass, combine Pink Pigeon Rum, Lychee Juice and the juice from 1/2 a lime. Add the pulp of one passion fruit (to prep passion fruit: cut in half, setting aside a small slice for garnish and scoop out the pulp and drop both the pulp and peel into the glass). Add ice and shake vigorously. Pour in a tall glass over ice, top with ginger beer.  Garnish with the passion fruit wedge to serve."
257,Mayan Decadence,"In a pint glass pour all the ingredients, stir and strain into a bucket glass 3/4 full of ice and garnish with an orange peel."
258,The No.3 Winter Punch,In a punch bowl add ingredients per person.
259,Xmas in Juniper,"In a shaker mix all ingredients discarding the beer and dry shake vigorously to activate the egg whites. Add ice and shake for about 10 sec and double strain into 8 oz glass and top with beer. Garnish with a marigold flower.

*Spiced Apricot Syrup:
-- Organic Earl Grey Tea
-- Green Cardamom
-- Juniper Berries"
260,Muddled Mission,"In a shaker, gently muddle the strawberry. Add the remaining ingredients and shake with ice. Strain into a coupe. Garnish with strawberry."
261,The Southside,"In a shaker, muddle the mint and simple syrup. Add the lemon juice and gin, and fill with ice. Shake, and double-strain into a cocktail glass. Garnish with a mint sprig.

"
262,Apricot Blush,"In a tall glass muddle the mint and plum with fresh sweet n' sour, pour the liquors then fill up with ice and top with Prosecco."
263,Nikka Coffey Malt Old Fashioned,"In an old fashioned glass, muddle the lemon peel with the bitters and demerara syrup, just enough to bruise the peel and release its oils. Add Coffey Malt and ice, and stir for 20 to 30 seconds, or until well chilled."
264,Honey Basil Smash,"In collins glass, gently muddle honey, lime and basil leaves. Add English Harbour rum and ice and stir. Top with ginger ale."
265,Nikka Coffey Grain Perfect Manhattan,"In mixing glass or cocktail shaker filled with ice, combine whiskey, vermouth, and bitters. Stir well, about 20 seconds, then strain into cocktail glass. Add cherry and serve."
266,Juniperotivo,"In mixing glass, using a spoon, crush 2 mint leaves in the simple syrup, and add gin, lime juice and pomegranate syrup. Pour into ice-filled shaker. Shake well and strain into chilled cocktail glass. Float remaining 2 mint leaves for garnish."
267,Desmond's Choice,"In old fashioned glass, lightly muddle orange zest with bitters and orange curacao.  Add bourbon and creme de cacao then stir with ice for proper dilution (depending on ice) and mixing of ingredients."
268,Cafe Creole,"In one shaker, mix heavy cream and simple syrup and dry shake vigorously until it's whipped.
In another, shake Pink Pigeon Rum and Luxardo Espresso with ice.  Pour into a coupe, and then carefully top with the cream.  It should layer perfectly.  The vanilla complexity of the rum pairs awesomely with coffee and cream.
"
269,La Nueva Moda (The New Fashion),"In rocks glass, make an emulsion by using a glass muddler (wood muddlers absorb the ingredients too much). Place sugar cubes in glass. Add mezcal onto the cubes. Add bitters, onto cubes. Add drops of agave nectar, onto cubes. Add Luxardo, onto cubes. Muddle well to make a ""syrup"" paying attention the blending of all ingredients. 
Take the long orange peel and twist all the essential oils into glass. Leave peel in glass. 
Place Gläce Luxury Ice G-Cubed in glass. Rotate Gläce G-Cubed so that it becomes coated and chills the ""syrup"" swirl around the inside of glass. Pour the Anejo Tequila over Gläce G-Cubed. Stir with glass swizzle. Garnish with 3 Luxardo Cherries, speared.
"
270,And The Cherry On Top Is...,"In the bottom of a cocktail shaker, muddle pitted cherries if using. Add Luxardo Maraschino, vodka, fresh lemon juice and simple syrup. Shake hard, then double strain (though a fine mesh strainer) into a tall glass with fresh ice. Add a splash of soda and stick a cherry on top."
271,Phad Thai,"In the small tin of a Boston shaker set, combine the cilantro sprigs, thai chili, yuzu juice, simple syrup and a small piece of ice. Muddle these ingredients well. Add the remaining liquid ingredients to the shaker with cracked ice and shake vigorously for 20 seconds. 
Double strain the cocktail over ice into a 13 oz. rocks glass. 
Garnish with the Thai chili piece and the cilantro sprig."
