recipe_id,synergy_score,conflict_score,final_balance_score,synergy_normalized,conflict_normalized,balance_normalized,conflict_good,sqe_total,n_ingredients,roles_summary,base_count,modifier_count,acid_count,sweetener_count
1,1.9344897754674424,0.0137518507807407,-0.2399590159762275,0.028882973940860392,0.0137518507807407,0.7343269309363434,0.9862481492192593,0.5277257136230249,4,"base:1,acid:1,sweetener:1",1.0,0.0,1.0,1.0
2,5.941813236264076,0.0241211947412796,-0.125047308797605,0.08871447088574337,0.0241211947412796,0.9314768285527981,0.9758788052587204,0.6076924784977529,7,"base:1,modifier:2,acid:1,sweetener:1",1.0,2.0,1.0,1.0
3,4.942253729397414,0.0219482916036747,-0.2196778266239132,0.07379050925240108,0.0219482916036747,0.7691226406383445,0.9780517083963253,0.5536685084113613,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
4,1.579924780642867,0.0247915910739517,-0.1782318743402857,0.023589127658635953,0.0247915910739517,0.8402299755649091,0.9752084089260483,0.5540671664107415,5,"base:1,modifier:2,sweetener:1",1.0,2.0,0.0,1.0
5,7.078965012378219,0.1009832022415583,-0.3730430907791994,0.10569275918316874,0.1009832022415583,0.5059993534772245,0.8990167977584417,0.4637819490439673,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
6,4.2686166706428255,0.0156553206029524,-0.4316930334586647,0.06373274525677325,0.0156553206029524,0.405375748812698,0.9843446793970476,0.442409226565633,7,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
7,0.976604496,0.038672239214508,-0.1059618766362675,0.014581230961367687,0.038672239214508,0.9642210204977029,0.961327760785492,0.5834971267695055,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
8,1.3321895096845875,0.0232530196250683,-0.2066171335178554,0.01989030667438392,0.0232530196250683,0.7915304037103585,0.9767469803749317,0.5384393378953406,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
9,1.2179783852831123,0.0119027544970617,-0.4099126468762421,0.01818507309203166,0.0119027544970617,0.4427435774717631,0.9880972455029383,0.43652627612922307,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
10,9.747928958350904,0.0253770582839566,-0.2811916189877915,0.14554182795480278,0.0253770582839566,0.663585631709505,0.9746229417160434,0.5496793032095856,5,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
11,3.090670902945018,0.0116760125363867,-0.0993187440007093,0.04614538070017254,0.0116760125363867,0.975618405073297,0.9883239874636133,0.6076408700411421,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
12,2.115413725813805,0.0199794544131344,-0.235342827752559,0.03158426593495677,0.0199794544131344,0.7422467596293405,0.9800205455868656,0.5293138979388445,4,"base:1,modifier:1",1.0,1.0,0.0,0.0
13,5.95470138017006,0.006665850960079,-0.3642183341940712,0.08890689781366169,0.006665850960079,0.5211396720745607,0.993334149039921,0.48990490545980914,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
14,3.106354597813862,0.0491200606455693,-0.375712391577772,0.04637954670918324,0.0491200606455693,0.501419729763793,0.9508799393544307,0.4542417194191404,5,"modifier:1,acid:1,sweetener:1",0.0,1.0,1.0,1.0
15,1.30343744878084,0.0826903525151797,-0.1739880255316679,0.01946102292403259,0.0826903525151797,0.8475109948680003,0.9173096474848204,0.5372306018754591,4,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
16,1.73469107599221,0.0283315636530122,-0.2240140956300474,0.025899871779482206,0.0283315636530122,0.7616830593146775,0.9716684363469879,0.5303653974102924,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
17,0.812188384,0.0304907029753553,-0.3951708082327831,0.012126409882147408,0.0304907029753553,0.4680356216907086,0.9695092970246447,0.436114039567465,4,"base:1,modifier:3",1.0,3.0,0.0,0.0
18,1.2327614155362487,0.0460748693127363,-0.1419161489663427,0.0184057916933823,0.0460748693127363,0.9025355640478213,0.9539251306872637,0.5643005250978784,5,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
19,1.4237919237088517,0.0804608579809542,-0.3735150893085353,0.02125798003752869,0.0804608579809542,0.5051895625166826,0.9195391420190457,0.43592180337572994,3,"base:1,acid:1",1.0,0.0,1.0,0.0
20,5.345201411237492,0.0255096904177034,-0.1927179196029955,0.07980673510260225,0.0255096904177034,0.815376786881782,0.9744903095822965,0.5688828229802645,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
21,1.584743038045477,0.0949115598761252,-0.2181586853229195,0.023661066835965704,0.0949115598761252,0.771728976923039,0.9050884401238748,0.5125096518484604,4,"base:1,modifier:1,acid:1",1.0,1.0,1.0,0.0
22,1.899500476298612,0.0188700125786868,-0.1789831615427166,0.02836056486487647,0.0188700125786868,0.8389410190375332,0.9811299874213132,0.5573655278836045,6,"base:1,modifier:2,acid:1,sweetener:1",1.0,2.0,1.0,1.0
24,1.3387856080000002,0.0319844894147069,-0.1332503263485075,0.01998878997379003,0.0319844894147069,0.9174032053336031,0.9680155105852931,0.5736211307651848,5,"base:1,modifier:2,acid:1,sweetener:1",1.0,2.0,1.0,1.0
25,2.461084458985047,0.0056842105263157,-0.3468157035859598,0.03674531610173297,0.0056842105263157,0.550996741705534,0.9943157894736843,0.4782918857944587,3,"base:1,modifier:1",1.0,1.0,0.0,0.0
