recipe_id,canonical_name,amount,unit,amount_value,amount_ratio_all,amount_rank_all
22,pineapple juice,1.0,oz,1.0,0.14285714285714285,3.0
22,rum,1.5,oz,1.5,0.21428571428571427,2.0
22,amaretto,0.5,oz,0.5,0.07142857142857142,4.0
22,falernum,0.5,oz,0.5,0.07142857142857142,4.0
22,orange bitters,3.0,dash,3.0,0.42857142857142855,1.0
23,gin,,oz,,0.0,
23,lemon,,oz,,0.0,
23,elderflower liqueur,,oz,,0.0,
23,honey syrup,,oz,,0.0,
23,carrot juice,,oz,,0.0,
24,maraschino liqueur,0.5,oz,0.5,0.13333333333333333,3.0
24,simple syrup,0.5,oz,0.5,0.13333333333333333,3.0
24,rum,1.5,oz,1.5,0.4,1.0
24,lime juice,0.75,oz,0.75,0.2,2.0
24,grapefruit juice,0.5,oz,0.5,0.13333333333333333,3.0
25,ginger liqueur,1.0,oz,1.0,0.8,1.0
25,creme de mure,0.25,oz,0.25,0.2,2.0
25,pear cider,,top,,,
26,ginger liqueur,1.0,oz,1.0,0.23529411764705882,2.0
26,angostura bitters,1.0,dash,1.0,0.23529411764705882,2.0
26,scotch whisky,2.0,oz,2.0,0.47058823529411764,1.0
26,honey syrup,0.25,oz,0.25,0.058823529411764705,3.0
27,vermouth,0.25,oz,0.25,0.05555555555555555,2.0
27,maraschino liqueur,0.25,oz,0.25,0.05555555555555555,2.0
27,angostura bitters,2.0,dash,2.0,0.4444444444444444,1.0
27,scotch,2.0,oz,2.0,0.4444444444444444,1.0
28,lemon juice,0.5,oz,0.5,0.2,2.0
28,orange juice,0.5,oz,0.5,0.2,2.0
28,simple syrup,0.5,oz,0.5,0.2,2.0
28,aperitivo,1.0,oz,1.0,0.4,1.0
28,lager,,top,,,
29,bitter bianco,1.5,oz,1.5,0.3157894736842105,1.0
29,orange bitters,1.0,dash,1.0,0.21052631578947367,2.0
29,sake,1.0,oz,1.0,0.21052631578947367,2.0
29,rum,0.25,oz,0.25,0.05263157894736842,3.0
29,coconut vinegar,1.0,dash,1.0,0.21052631578947367,2.0
30,lemon juice,0.375,oz,0.375,0.11538461538461539,3.0
30,cognac,1.5,oz,1.5,0.46153846153846156,1.0
30,dubonnet,0.5,oz,0.5,0.15384615384615385,2.0
30,cherry liqueur,0.5,oz,0.5,0.15384615384615385,2.0
30,orange juice,0.375,oz,0.375,0.11538461538461539,3.0
31,maraschino liqueur,0.25,oz,0.25,0.047619047619047616,3.0
31,gin,1.5,oz,1.5,0.2857142857142857,2.0
31,vermouth,1.5,oz,1.5,0.2857142857142857,2.0
31,bitters,2.0,dash,2.0,0.38095238095238093,1.0
32,bourbon,0.5,oz,0.5,0.08333333333333333,4.0
32,pineapple juice,0.75,oz,0.75,0.125,3.0
32,angostura bitters,2.0,dash,2.0,0.3333333333333333,1.0
32,amaretto,1.5,oz,1.5,0.25,2.0
32,lime juice,0.5,oz,0.5,0.08333333333333333,4.0
32,egg white,0.75,oz,0.75,0.125,3.0
33,lemon juice,0.5,oz,0.5,0.05405405405405406,5.0
33,simple syrup,0.75,oz,0.75,0.08108108108108109,4.0
33,angostura bitters,1.0,dash,1.0,0.10810810810810811,3.0
33,gin,1.0,oz,1.0,0.10810810810810811,3.0
33,vodka,1.0,oz,1.0,0.10810810810810811,3.0
33,celery root,2.0,oz,2.0,0.21621621621621623,2.0
33,apple bitters,3.0,dash,3.0,0.32432432432432434,1.0
34,lemon juice,0.75,oz,0.75,0.21428571428571427,2.0
34,ginger liqueur,2.0,oz,2.0,0.5714285714285714,1.0
34,simple syrup,0.75,oz,0.75,0.21428571428571427,2.0
35,cachaca,2.0,oz,2.0,0.42105263157894735,1.0
