recipe_id,num_nodes,pair_count,C_flavor,C_role,C_type,C_ratio,C_flavor_norm,C_role_norm,C_type_norm,C_ratio_norm,conflict_score,conflict_normalized
1,4,6,0.17286569010816505,0.11999940000059994,0.0,0.06000000000000001,0.028810948351360843,0.011538403846211532,0.0,0.012000000000000002,0.013751850780740708,0.013751850780740708
2,7,21,0.9912713403541145,0.0,0.6,0.13500000000000004,0.04720339715971974,0.0,0.02857142857142857,0.027000000000000007,0.024121194741279633,0.024121194741279633
3,5,10,0.2821550209696241,0.0,0.6,0.044925037481259374,0.028215502096962407,0.0,0.06,0.008985007496251874,0.021948291603674713,0.021948291603674713
4,5,10,0.0993139992661678,0.7199976000048,0.0,0.007500000000000007,0.00993139992661678,0.06923053846199999,0.0,0.0015000000000000013,0.02479159107395178,0.02479159107395178
5,6,15,2.005584644688979,2.15999788800169,0.0,0.005000000000000032,0.13370564297926527,0.20769210461554713,0.0,0.0010000000000000065,0.10098320224155838,0.10098320224155838
6,7,21,1.048682819409723,0.0,0.0,0.05970588235294119,0.04993727711474872,0.0,0.0,0.011941176470588238,0.015655320602952452,0.015655320602952452
7,5,10,0.5783341841628638,0.7199976000047996,0.0,0.03777777777777778,0.05783341841628638,0.06923053846199996,0.0,0.007555555555555556,0.038672239214508096,0.038672239214508096
8,5,10,0.7055355442846261,0.11999880000240015,0.0,0.024761904761904763,0.0705535544284626,0.011538346154076937,0.0,0.004952380952380953,0.02325301962506834,0.02325301962506834
9,5,10,0.272094144572558,0.0,0.0,0.11263157894736842,0.027209414457255797,0.0,0.0,0.022526315789473682,0.011902754497061775,0.011902754497061775
10,5,10,0.04433006094173586,0.7199984000021332,0.0,0.05576923076923079,0.004433006094173586,0.0692306153848205,0.0,0.011153846153846158,0.025377058283956613,0.025377058283956613
11,5,10,0.2732283225337749,0.11999880000240015,0.0,0.020000000000000018,0.027322832253377487,0.011538346154076937,0.0,0.0040000000000000036,0.011676012536386794,0.011676012536386794
12,4,6,0.37393156061946625,0.0,0.0,0.085,0.062321926769911044,0.0,0.0,0.017,0.01997945441313449,0.01997945441313449
13,6,15,0.1966046675152031,0.0,0.0,0.07639534883720929,0.013106977834346873,0.0,0.0,0.015279069767441858,0.006665850960079042,0.006665850960079042
14,5,10,0.24215327888896954,1.3199989333347557,0.0,0.06333333333333334,0.024215327888896954,0.12692297435911112,0.0,0.012666666666666668,0.049120060645569376,0.049120060645569376
15,4,6,0.18097080657686748,2.4,0.0,0.04461538461538464,0.03016180109614458,0.23076923076923075,0.0,0.008923076923076928,0.08269035251517974,0.08269035251517974
16,5,10,0.7073698803512857,0.3199989333347556,0.0,0.0,0.07073698803512857,0.03076912820526496,0.0,0.0,0.028331563653012246,0.028331563653012246
17,4,6,0.07211110476117916,0.8999999999999999,0.0,0.0,0.012018517460196526,0.08653846153846152,0.0,0.0,0.030490702975355357,0.030490702975355357
18,5,10,1.1348450338839797,0.0,0.6,0.085,0.11348450338839797,0.0,0.06,0.017,0.046074869312736313,0.046074869312736313
19,3,3,0.06968455021364728,2.4,0.0,0.03500000000000003,0.02322818340454909,0.23076923076923075,0.0,0.007000000000000006,0.0804608579809542,0.0804608579809542
20,6,15,0.5780523538090956,0.0,0.6,0.165,0.03853682358727304,0.0,0.04,0.033,0.025509690417703432,0.025509690417703432
21,4,6,0.45924510363719445,2.4,0.0,0.045000000000000005,0.07654085060619907,0.23076923076923075,0.0,0.009000000000000001,0.09491155987612525,0.09491155987612525
22,6,15,0.9058764312708661,0.0,0.0,0.07071428571428572,0.06039176208472441,0.0,0.0,0.014142857142857143,0.018870012578686878,0.018870012578686878
23,5,10,0.2353471113964874,0.0,0.0,0.0,0.02353471113964874,0.0,0.0,0.0,0.006193345036749669,0.006193345036749669
24,5,10,1.0689504439099422,0.11999880000240015,0.0,0.0050000000000000044,0.10689504439099422,0.011538346154076937,0.0,0.0010000000000000009,0.03198448941470699,0.03198448941470699
25,3,3,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.027000000000000003,0.005684210526315791,0.005684210526315791
26,4,6,0.3502039372725096,0.7199952000191999,0.6,0.036176470588235296,0.0583673228787516,0.06923030769415384,0.09999999999999999,0.007235294117647059,0.05979787563311944,0.05979787563311944
27,4,6,0.12254746330365063,0.7199952000191999,0.0,0.13222222222222224,0.020424577217275103,0.06923030769415384,0.0,0.026444444444444448,0.03280434263310928,0.03280434263310928
28,5,10,0.4923157958776383,0.0,0.0,0.030000000000000027,0.04923157958776383,0.0,0.0,0.006000000000000005,0.014218836733622063,0.014218836733622063
29,5,10,0.45885157164267676,2.4,0.0,0.0,0.04588515716426768,0.23076923076923075,0.0,0.0,0.08494953528614331,0.08494953528614331
30,5,10,0.1818198312742358,0.0,0.0,0.04461538461538464,0.018181983127423577,0.0,0.0,0.008923076923076928,0.006663274912075031,0.006663274912075031
31,4,6,0.23379309835511403,0.7199952000191999,0.0,0.027857142857142858,0.038965516392519,0.06923030769415384,0.0,0.005571428571428572,0.03328921802174907,0.03328921802174907
32,6,15,1.249951386441484,0.3199994666670221,0.0,0.0,0.08333009242943226,0.030769179487213662,0.0,0.0,0.03164555468791807,0.03164555468791807
33,7,21,1.5331396061493323,0.0,1.2,0.0,0.07300664791187297,0.0,0.05714285714285714,0.0,0.031242350954252287,0.031242350954252287
34,3,3,0.42754669984335275,0.0,0.0,0.06642857142857142,0.14251556661445092,0.0,0.0,0.013285714285714284,0.04030108895869009,0.04030108895869009
35,4,6,0.4704488861599316,0.11999940000060007,0.0,0.007105263157894737,0.07840814769332193,0.011538403846211544,0.0,0.0014210526315789475,0.024576598530010246,0.024576598530010246
36,6,15,1.460788007220763,0.11999880000240015,0.6,0.0,0.09738586714805088,0.011538346154076937,0.04,0.0,0.037692600666564005,0.037692600666564005
37,6,15,0.8690184977524869,0.11999880000240015,0.0,0.0,0.05793456651683246,0.011538346154076937,0.0,0.0,0.018889626816243368,0.018889626816243368
38,4,6,0.5774754680029366,0.0,0.0,0.0,0.09624591133382276,0.0,0.0,0.0,0.02532787140363757,0.02532787140363757
39,4,6,0.46567770844620454,0.0,0.0,0.0050000000000000044,0.07761295140770076,0.0,0.0,0.0010000000000000009,0.02063498721255283,0.02063498721255283
40,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
