epoch,train_loss,train_accuracy,train_margin,valid_loss,valid_accuracy,valid_margin
1,0.20944609308145878,0.9954471544715447,2.1327961722331317,0.18516040866052633,1.0,2.2078177901136846
2,0.18512576855779664,1.0,2.3061417935921895,0.1806563057682731,1.0,2.3386430017875903
3,0.1849875798167252,1.0,2.31014496911832,0.18368391164671846,1.0,2.2020480930110513
4,0.1848078132451065,1.0,2.309570975187348,0.18222322021469925,1.0,2.22321024391201
5,0.1847520318796964,1.0,2.3096263433471926,0.18261412362674456,1.0,2.209468318587972
