global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
59,chareau liqueur,unknown,0.13488705520783476,0.0401992203519773,0.02993818650228331,0.0401992203519773,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
60,black tea,unknown,0.13472592520729465,0.0375625476158665,0.029645222864937662,0.0375625476158665,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
61,chai tea,unknown,0.13444942700272197,0.0330380315410407,0.029142498856623685,0.0330380315410407,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
62,turmeric coconut cream,unknown,0.13444656842962377,0.032991254890343,0.029137301450990607,0.032991254890343,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
63,mint tea,unknown,0.1342906903150993,0.029647204402262498,0.02885388669730975,0.059294408804524995,2,0,2,2,0.0,1.0,1.0,0,0,0,0,0,0,0,2,0.0,0.0,other,1.0,True
64,dark chocolate,unknown,0.1342649905045113,0.0300199797521387,0.02880715976896791,0.0300199797521387,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
65,sparkling apple juice,unknown,0.1341283125185421,0.0277834308908245,0.028558654339933,0.0277834308908245,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
66,dill,unknown,0.1340307698480575,0.026187278101077,0.028381304029961054,0.026187278101077,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
67,bergamot tea foam,unknown,0.13397680791075114,0.025304264581518,0.02828319141667672,0.025304264581518,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
68,raspberry jello,unknown,0.13361061159437276,0.0193119612225991,0.027617379932352398,0.0193119612225991,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
69,raspberry,unknown,0.1280008862036216,0.012118101225153461,0.02229499725341075,0.0605905061257673,5,1,2,4,0.2,0.4,0.8,0,0,0,0,0,2,0,3,1.0,1.0,other,0.6,True
70,pkg,unknown,0.08469846866578157,0.0810073210383786,0.034472419911883455,0.0810073210383786,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
71,allspice,unknown,0.07968244269328573,0.0714861016202252,0.03722166614090229,0.1429722032404504,2,0,1,1,0.0,0.5,0.5,0,0,0,0,0,0,0,2,0.0,0.0,other,1.0,True
72,carrot,unknown,0.05773403730629134,0.0695613197621279,0.033200641992300044,0.0695613197621279,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
73,kale,unknown,0.05773228029533488,0.0695325686737494,0.03319744742692465,0.0695325686737494,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
74,pinch hepps ghost pepper salt,unknown,0.056151699893429496,0.0436685257334795,0.030323664878005776,0.0436685257334795,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
75,garlic,unknown,0.055076978927867545,0.0260821826606476,0.02836962675880223,0.0260821826606476,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
76,green apple puree,unknown,0.054845010121394235,0.0222863294638117,0.02794786529248713,0.0222863294638117,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
77,juiced,unknown,0.05424814525116152,0.022081587548043864,0.02686265643751855,0.0662447626441316,3,0,0,3,0.0,0.0,1.0,0,0,0,0,0,0,0,3,0.0,0.0,other,1.0,False
78,cored,unknown,0.043119213792879946,0.046552528381328,0.030644109616655608,0.046552528381328,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
79,peppercorns,unknown,0.041861253124529596,0.0272216049494451,0.028264479365173432,0.0816648148483353,3,0,0,2,0.0,0.0,0.6666666666666666,0,0,0,0,0,1,0,2,0.0,0.0,other,0.6666666666666666,True
80,spinach,unknown,0.018248777578656207,0.0693719022094382,0.03317959559755674,0.0693719022094382,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
