global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
34,bitter lemon soda,unknown,0.1332505515343742,0.0134200693317139,0.026962725277809598,0.0134200693317139,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,True
35,splash perrier grapefruit,unknown,0.13299449258530793,0.0092300138015384,0.02649716355223454,0.0092300138015384,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,False
36,cubes tonic water ice cubes,unknown,0.1324932477471492,0.0010278255407594,0.025585809301036874,0.0010278255407594,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,False
37,water,unknown,0.11910564093610287,0.0205182759352756,0.025168150984301862,0.1231096556116536,6,0,5,6,0.0,0.8333333333333334,1.0,0,0,0,0,0,0,6,0,0.0,0.0,dilution,1.0,False
38,mineral water,unknown,0.10795982070383968,0.029282230916775467,0.028826468265354444,0.0878466927503264,3,0,2,3,0.0,0.6666666666666666,1.0,0,0,0,0,0,0,3,0,0.0,0.0,dilution,1.0,False
39,grapefruit soda,unknown,0.09300972094882251,0.013217339349985402,0.025567913686854328,0.026434678699970803,2,0,1,2,0.0,0.5,1.0,0,0,0,0,0,0,2,0,0.0,0.0,dilution,1.0,True
40,seltzer,unknown,0.08079728264043151,0.0171697315326503,0.027379354411246976,0.0171697315326503,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,1,0,1.0,1.0,dilution,1.0,False
41,seltzer water,unknown,0.08018373818807298,0.0071299132213287,0.026263819043322353,0.0071299132213287,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,1,0,1.0,1.0,dilution,1.0,False
42,anchor christmas ale 2016,unknown,0.07280104113356226,0.00892790562273905,0.024710026941405058,0.0178558112454781,2,0,1,1,0.0,0.5,0.5,0,0,0,0,0,0,1,1,0.0,0.0,dilution,0.5,False
43,porter,unknown,0.055572365685586725,0.0341885114233251,0.029270329954655283,0.0341885114233251,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,True
44,green tea,unknown,0.05532470175985364,0.0301358290022384,0.028820031907867874,0.0301358290022384,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,True
45,soda,unknown,0.054658418704985626,0.023420811774434752,0.0276086081717442,0.046841623548869504,2,0,0,2,0.0,0.0,1.0,0,0,0,0,0,0,2,0,0.0,0.0,dilution,1.0,True
46,to fill anchor california lager,unknown,0.05389336125719345,0.0067138935041624,0.026217594630303875,0.0067138935041624,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,False
47,minta soda,unknown,0.05388832120813014,0.0066314199740356,0.02620843090473423,0.0066314199740356,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,True
48,count deschutes fresh squeezed ipa,unknown,0.05309689966865768,-0.006319114308241,0.02476948265114794,-0.006319114308241,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,True
49,anchor liberty ale,unknown,0.05288232097921004,-0.0098304019537478,0.024379339579424966,-0.0098304019537478,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,False
