global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
26,atomized pipe tobacco essence,unknown,0.13088840134412827,-0.0252332974177653,0.022667906750089686,-0.0252332974177653,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
27,cherry,unknown,0.10149328118588352,0.030994146973665454,0.02912327521159034,0.06198829394733091,2,0,1,1,0.0,0.5,0.5,0,0,0,0,0,1,0,1,0.5,1.0,garnish,0.5,True
28,mint,unknown,0.09846288597061387,0.0060118072881742,0.013257807282701355,0.1022007238989614,17,0,3,7,0.0,0.17647058823529413,0.4117647058823529,0,0,0,0,0,16,0,1,1.411764705882353,4.0,garnish,0.9411764705882353,True
29,orange peel,unknown,0.08312031432681792,0.0551829773098825,0.031603048386495,0.0551829773098825,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1.0,1.0,garnish,1.0,True
30,lychee,unknown,0.08086605838145011,0.0182951527493184,0.027504401213098984,0.0182951527493184,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1.0,1.0,garnish,1.0,True
31,lemon zest,unknown,0.08052772677193565,0.0127588173208997,0.026889252832163577,0.0127588173208997,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1.0,1.0,garnish,1.0,True
32,nutmeg,unknown,0.07884137407838426,0.0442465489751789,0.03177375561189303,0.0884930979503578,2,0,0,1,0.0,0.0,0.5,0,0,0,0,0,1,0,1,2.0,2.0,garnish,0.5,True
33,kiwi,unknown,0.07879423997939058,-0.0156073301934738,0.023737458663899855,-0.0156073301934738,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1.0,1.0,garnish,1.0,True
34,mint leaves,unknown,0.068574919298518,-0.0062326073636238995,0.017026169059506407,-0.024930429454495598,4,0,1,4,0.0,0.25,1.0,0,0,0,0,0,4,0,0,0.0,0.0,garnish,1.0,True
35,basil,unknown,0.06465044828219588,0.009068560884281863,0.018862059077676713,0.0725484870742549,8,0,2,7,0.0,0.25,0.875,0,0,0,0,0,8,0,0,0.0,0.0,garnish,1.0,True
36,pineapple,unknown,0.06156236271526953,0.0093448351966476,0.02221864991293024,0.0373793407865904,4,0,1,3,0.0,0.25,0.75,0,0,0,0,0,2,0,2,0.0,0.0,garnish,0.5,True
37,okra,unknown,0.0575575050712383,0.0666726104612601,0.03287967429220362,0.0666726104612601,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
38,jalapeno stuffed olive,unknown,0.05755199879376907,0.0665825077390362,0.03286966287862319,0.0665825077390362,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
39,raspberries,unknown,0.05573963542788096,0.0369256526608673,0.02957445675882664,0.0369256526608673,1,0,0,1,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
40,cucumber,unknown,0.05507483158546028,0.013045181792402168,0.020391240841187763,0.1174066361316195,9,0,3,4,0.0,0.3333333333333333,0.4444444444444444,0,0,0,0,0,7,0,2,0.0,0.0,garnish,0.7777777777777778,True
